event_id,lead_id,email,phone,name,source,campaign,event_type,timestamp,status,payload
evt-001,lead-101,sarah.connor@cyberdyne.org,+1-555-019-2834,Sarah Connor,organic_search,seo-growth-2026,page_visit,2026-08-10T09:00:00Z,new,"{""page"": ""/pricing""}"
evt-002,lead-101,Sarah.Connor@Cyberdyne.org,5550192834,Sarah Connor,paid_search,google-ads-q3,campaign_click,2026-08-10T09:15:00Z,new,"{""keyword"": ""b2b attribution""}"
evt-003,lead-101,sarah.connor@cyberdyne.org,+15550192834,Sarah Connor,paid_search,google-ads-q3,form_submission,2026-08-10T09:20:00Z,new,"{""company_size"": ""50-200""}"
evt-004,lead-101,sarah.connor@cyberdyne.org,+15550192834,Sarah Connor,email,nurture-enterprise-01,email_click,2026-08-11T14:30:00Z,contacted,"{""subject"": ""Case Study""}"
evt-005,lead-101,sarah.connor@cyberdyne.org,+15550192834,Sarah Connor,manual,,qualified,2026-08-12T11:00:00Z,qualified,"{""budget"": ""$40k""}"
evt-006,lead-101,sarah.connor@cyberdyne.org,+15550192834,Sarah Connor,website,enterprise-checkout-summer,converted,2026-08-13T16:45:00Z,converted,"{""amount"": 48000}"
evt-007,lead-101,sarah.connor@cyberdyne.org,+15550192834,Sarah Connor,website,random-newsletter,page_visit,2026-08-14T10:00:00Z,new,"{""note"": ""Late visit""}"
evt-010,,,"+91-98765-43210",Rajesh Kumar,social,linkedin-lead-gen-apac,form_submission,2026-08-11T08:00:00Z,new,"{""channel"": ""LinkedIn""}"
evt-011,lead-202,rajesh.kumar@techcorp.in,+919876543210,Rajesh Kumar,social,linkedin-lead-gen-apac,contacted,2026-08-11T12:00:00Z,contacted,"{""rep"": ""Priya""}"
evt-012,lead-202,rajesh.kumar@techcorp.in,+919876543210,Rajesh Kumar,social,linkedin-lead-gen-apac,qualified,2026-08-12T09:30:00Z,qualified,"{""score"": 92}"
evt-013,lead-202,rajesh.kumar@techcorp.in,+919876543210,Rajesh Kumar,website,,converted,2026-08-14T15:00:00Z,converted,"{""plan"": ""Pro""}"
evt-020,lead-303,elena.rostova@globalfin.eu,+442079460991,Elena Rostova,paid_search,google-ads-q3,campaign_click,2026-08-12T10:00:00Z,new,"{}"
evt-021,lead-303,elena.rostova@globalfin.eu,+442079460991,Elena Rostova,organic_search,seo-growth-2026,page_visit,2026-08-12T10:00:00Z,new,"{""tie"": true}"
evt-022,lead-303,elena.rostova@globalfin.eu,+442079460991,Elena Rostova,website,,form_submission,2026-08-12T10:05:00Z,new,"{}"
evt-023,lead-303,elena.rostova@globalfin.eu,+442079460991,Elena Rostova,manual,,qualified,2026-08-13T14:00:00Z,qualified,"{}"
evt-030,lead-404,marcus.vance@apexlogistics.com,+14155550143,Marcus Vance,organic_search,seo-campaign-beta,page_visit,2026-08-15T12:00:00Z,new,"{}"
evt-031,lead-404,marcus.vance@apexlogistics.com,+14155550143,Marcus Vance,organic_search,seo-campaign-alpha,page_visit,2026-08-15T12:00:00Z,new,"{}"
evt-040,lead-505,david.chen@synapse.ai,+16505550188,David Chen,social,twitter-ai-launch,form_submission,2026-08-05T14:00:00Z,new,"{}"
evt-041,lead-505,david.chen@synapse.ai,+16505550188,David Chen,manual,,lost,2026-08-06T10:00:00Z,lost,"{}"
evt-042,lead-505,david.chen@synapse.ai,+16505550188,David Chen,website,self-serve-signup,converted,2026-08-08T18:00:00Z,converted,"{}"
evt-050,lead-606,casual.browser@example.com,,Casual Visitor,organic_search,seo-growth-2026,page_visit,2026-08-01T11:00:00Z,new,"{}"
evt-051,lead-606,casual.browser@example.com,,Casual Visitor,organic_search,seo-growth-2026,page_visit,2026-08-02T15:30:00Z,new,"{}"
evt-001,lead-101,sarah.connor@cyberdyne.org,+1-555-019-2834,Sarah Connor,organic_search,seo-growth-2026,page_visit,2026-08-10T09:00:00Z,new,"{""note"": ""Duplicate ID check""}"
evt-bad-01,,,,Ghost User,social,ghost-campaign,page_visit,2026-08-05T10:00:00Z,new,"{}"
evt-bad-02,lead-bad-ts,bad.time@example.com,+15559990000,Bad Timestamp,paid_search,google-ads-q3,form_submission,INVALID_DATE_STRING_2026,new,"{}"
